player_name,team,conf,GP,Min_per,dunksmade,stops,pts
Adrian Fields,McNeese St.,Slnd,14,5.5,0,8.43202,0.3571
JerShon Cobb,Northwestern,B10,27,47.6,0,97.8313,7.3704
Desmond Haymon,Stephen F. Austin,Slnd,9,7,0,13.1992,4.4444
Mike Gabbard,Western Kentucky,SB,12,3.4,0,7.33464,0.25
Frankie Eteuati,Cal St. Northridge,BW,26,18.8,0,48.2875,1.6154
Derron Hobbs,Grambling St.,SWAC,29,33.9,0,77.2155,4.3793
Pete Dill,Seton Hall,BE,4,0.3,0,1.76481,0
Prince Parker,Virginia Tech,ACC,4,0.4,0,0.958782,0.5
Justin May,Delaware St.,MEAC,7,2.2,0,2.23284,0.4286
Anthony Baskerville,Rhode Island,A10,16,4,0,8.01333,375
T.J. McConnell,Duquesne,A10,31,76,0,222705,10.6774
Jerry Jones,Duquesne,A10,24,11.7,0,24.8747,0.9167
Presano Bell,South Carolina St.,MEAC,27,52.5,4,110658,7.5556
Troy Pierce,Charleston Southern,BSth,27,22,0,39.0031,1.2963
Matt Kennedy,Charleston Southern,BSth,24,14.7,0,24.1311,1.7083
Sheldon Strickland,Charleston Southern,BSth,28,63.6,0,109344,7.9643
Jarell Eddie,Virginia Tech,ACC,27,21.5,0,53.2272,2.9259
Juwan Staten,Dayton,A10,35,70,2,157369,8.5143
Terry Bembry,Houston Baptist,GWC,26,58.9,1,135968,9.0769
Leon Powell,Southeast Missouri St.,OVC,31,78.7,10,186997,14.1935
Georges Massoda,High Point,BSth,21,12.9,0,28.6612,0.7143
Nick Giard,Michigan St.,B10,5,0.4,,0.515929,0
Dan Chapman,Michigan St.,B10,4,0.3,,0.343952,0
Jake Kreuser,Lafayette,Pat,18,7.5,0,19.3213,0.3333
Myles Walker,Indiana St.,MVC,33,59,9,143617,6.4848
Johnny Higgins,Marshall,CUSA,24,17,0,34.8744,1625
Corey Maynard,Bryant,NEC,29,55.8,0,98.4585,4.7931
